gene_id	condition	log2_fold_change	p_value	p_value_corrected
100526771	Experimental	-2.808116168944487	0.03571428571428571	0.5343257807232763
291	Experimental	-5.49104601460878	0.03571428571428571	0.5343257807232763
57453	Experimental	-1.374030604954587	0.03571428571428571	0.5343257807232763
554282	Experimental	1.1330905512592961	0.03571428571428571	0.5343257807232763
23621	Experimental	0.544949109945744	0.03571428571428571	0.5343257807232763
255239	Experimental	-2.8245093121770712	0.03571428571428571	0.5343257807232763
54970	Experimental	-6.6447543395381565	0.03571428571428571	0.5343257807232763
100288346	Experimental	-2.590897235113552	0.03571428571428571	0.5343257807232763
107983963	Experimental	1.029959166561616	0.03571428571428571	0.5343257807232763
105377607	Experimental	1.2411062043070409	0.03571428571428571	0.5343257807232763
1410	Experimental	-3.0254508937849365	0.03571428571428571	0.5343257807232763
54766	Experimental	-3.3697325571938452	0.03571428571428571	0.5343257807232763
5450	Experimental	-4.402748778992149	0.03571428571428571	0.5343257807232763
116519	Experimental	-1.792654091201576	0.03571428571428571	0.5343257807232763
28970	Experimental	1.047874894183529	0.03571428571428571	0.5343257807232763
619383	Experimental	-0.9796023950996092	0.03571428571428571	0.5343257807232763
159989	Experimental	-0.9166598157207292	0.03571428571428571	0.5343257807232763
101928555	Experimental	2.4671597602942135	0.03571428571428571	0.5343257807232763
105374703	Experimental	-2.7519582139852496	0.03571428571428571	0.5343257807232763
101929704	Experimental	-4.599373866689682	0.03571428571428571	0.5343257807232763
153657	Experimental	-2.088597408754348	0.03571428571428571	0.5343257807232763
55191	Experimental	-1.909246172990798	0.03571428571428571	0.5343257807232763
79925	Experimental	-1.5894457301272262	0.03571428571428571	0.5343257807232763
3575	Experimental	-0.8460075839922149	0.03571428571428571	0.5343257807232763
2017	Experimental	-1.129936692946982	0.03571428571428571	0.5343257807232763
5138	Experimental	2.4366150371600033	0.03571428571428571	0.5343257807232763
101929768	Experimental	0.7569903597346646	0.03571428571428571	0.5343257807232763
735	Experimental	-3.3971991857734163	0.03571428571428571	0.5343257807232763
1601	Experimental	-1.0227866166345403	0.03571428571428571	0.5343257807232763
107984344	Experimental	-0.5301216040841369	0.03571428571428571	0.5343257807232763
