gene_id	condition	log2_fold_change	p_value	p_value_corrected	base_mean
107985577	Experimental	1.2675262533652936	1.5800292975994134e-06	0.062215233622274504	0.6961061678385658
140766	Experimental	1.2675262533652936	1.5800292975994134e-06	0.062215233622274504	0.6961061678385658
7130	Experimental	1.2897107369929603	1.5854305347760813e-06	0.06242791273734298	0.7038007901278969
105375936	Experimental	1.2897107369929603	1.5854305347760813e-06	0.06242791273734298	0.7038007901278969
1610	Experimental	1.2897107369929603	1.5854305347760813e-06	0.06242791273734298	0.7038007901278969
112268149	Experimental	1.2897107369929603	1.5854305347760813e-06	0.06242791273734298	0.7038007901278969
650368	Experimental	1.1650959739288331	1.7246559101926012e-06	0.06791005111974387	0.6981598596525368
100422874	Experimental	1.1650959739288331	1.7246559101926012e-06	0.06791005111974387	0.6981598596525368
407048	Experimental	1.1650959739288331	1.7246559101926012e-06	0.06791005111974387	0.6981598596525368
107985656	Experimental	1.1216436236285503	1.763018910333469e-06	0.06942063261329068	0.6938919202206015
101928216	Experimental	1.1216436236285503	1.763018910333469e-06	0.06942063261329068	0.6938919202206015
574501	Experimental	1.041136080578902	1.793936562635318e-06	0.07063804609032828	0.678282116100529
100847013	Experimental	1.041136080578902	1.793936562635318e-06	0.07063804609032828	0.678282116100529
100616134	Experimental	1.041136080578902	1.793936562635318e-06	0.07063804609032828	0.678282116100529
105370105	Experimental	1.0730779387655383	1.805166608916315e-06	0.07108024039268881	0.6889981632161944
81551	Experimental	1.1180757693084327	1.8148495735079569e-06	0.07146151680644931	0.7032821161005293
107984580	Experimental	1.8455957079340295	1.8346961593323206e-06	0.07224299596986945	0.9732714210771115
790953	Experimental	1.1414121388827265	1.8490437622546631e-06	0.07280794718253962	0.7166903649310383
51411	Experimental	1.1012701084330305	1.8568657270688327e-06	0.07311594486906235	0.7068606069761187
105379771	Experimental	1.2424242109439412	1.8679366499653203e-06	0.07355187352903444	0.750613598162583
107984689	Experimental	1.0266344138539576	1.8800161058264442e-06	0.07402751418302207	0.6908995230015023
8549	Experimental	1.0266344138539576	1.8800161058264442e-06	0.07402751418302207	0.6908995230015023
575	Experimental	1.0266344138539576	1.8800161058264442e-06	0.07402751418302207	0.6908995230015023
132141	Experimental	1.5847776590683367	1.8969774298326285e-06	0.07469538327708958	0.8770280033364949
6716	Experimental	1.1879037158383907	1.925866276007526e-06	0.07583291048407234	0.7456522650545483
105372449	Experimental	1.860674520104095	1.9502992713833288e-06	0.07679498410998996	1.0114268617538276
