gene_id	condition	log2fold_change	p_value	p_value_corrected	base_mean
6421	Experimental	-1.257592496989992	2.5941252201474223e-08	2.3754947597331372e-05	7340.000000000003
3927	Experimental	-1.0430734678312683	3.681591868835553e-08	3.294690032437926e-05	8771.666666666668
2023	Experimental	-0.3299296925464656	1.9914547497990393e-07	0.0001742567160624155	27509.66666666667
105376011	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107986946	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
692107	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105375846	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
6624	Experimental	-0.5472999524167848	5.653427973678046e-07	0.00033626840920114733	15623.333333333338
100505566	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100847051	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107987372	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100506134	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105372703	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
84101	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101928388	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
110599565	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105376815	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
112268277	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105370148	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100507066	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107985550	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101927167	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
7012	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105370767	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101928701	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
102465440	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100129128	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100302221	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
677815	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107985833	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
